grid_id,lat,lon,freq,max_mag,avg_mag,avg_depth,gempa_in_radius_50,density
-0.1_129.70000000000002,-0.07857339084,129.7720642,1,3.131447254,3.131447254,106.0,98,0.001306055718746372
-0.1_129.8,-0.05420847289575,129.83981325000002,4,3.710392071,3.3100811635,12.5,94,0.0012343786787121643
-0.1_130.0,-0.07493071012000001,130.0624852,3,4.683799977,4.120860856,35.666666666666664,79,0.0010203364506293452
-0.1_130.1,-0.0777842730272328,130.13955688316406,5,4.537529935717136,4.110238949343428,13.6,70,0.0009499116062191753
-0.1_130.20000000000002,-0.07636553049,130.23064425,2,3.906206609,3.8925679645,17.0,67,0.0008831660549108898
-0.1_130.3,-0.02361471578,130.3209381,1,3.145642795,3.145642795,18.0,63,0.0007934179724077535
-0.1_130.4,-0.05763852969,130.493103,1,3.344666465,3.344666465,22.0,54,0.0008178312034600443
-0.1_130.5,-0.066942624745,130.53582765,2,4.377721641,3.729446538,22.5,53,0.0008219111544288725
-0.1_130.6,-0.0686827301979065,130.64102172851562,1,4.50267909979757,4.50267909979757,17.0,43,0.0007701276256889348
-0.1_130.70000000000002,-0.04538888857,130.7524567,1,3.576427079,3.576427079,12.0,38,0.0006163721051227388
-0.1_131.4,-0.08120726049,131.4238129,1,3.01405538,3.01405538,77.0,45,0.0006297275409684886
-0.1_131.5,-0.06071659923,131.5664673,1,3.838177318,3.838177318,10.0,54,0.0006799603701115197
-0.1_131.6,-0.029393965,131.67113,1,4.1641772,4.1641772,60.0,56,0.0006417386880403494
-0.1_132.1,-2.7713368e-05,132.18532,1,5.082822,5.082822,22.0,112,0.0012759574013060245
-0.1_132.20000000000002,-0.052494330335000006,132.25048065,2,4.604377724,4.1234898255,26.0,141,0.001736121691731836
-0.1_132.3,-0.03352366,132.37242,1,4.4985508,4.4985508,10.0,160,0.0019218454388553034
-0.1_132.4,-0.0702147222,132.44489645,4,4.4858722,4.0852990785,14.5,186,0.002311185476354118
-0.1_132.5,-0.062308037654999995,132.57295225000001,2,3.755598595,3.3263586834999996,14.5,211,0.002494747627726148
-0.1_132.6,-0.04147996701395,132.667136,8,6.4075059,4.263982007875,17.875,206,0.0024378872441236754
-0.1_132.70000000000002,-0.05646627443,132.75543213333333,6,4.235328125,3.6889367458333333,19.166666666666668,216,0.002561689651441372
-0.1_132.8,-0.08899968863,132.837738,1,2.90486239,2.90486239,27.0,227,0.002748168394630964
-0.1_132.9,-0.08944065869,132.9577026,1,3.873527886,3.873527886,10.0,213,0.002415829092055963
-0.1_133.20000000000002,-0.08713228256,133.2312317,1,3.268183595,3.268183595,12.0,133,0.00127636263323462
-0.1_133.3,-0.094043791,133.39166,1,4.4550462,4.4550462,110.0,76,0.0008043340361707881
-0.1_133.5,-0.011639161966741,133.51039123535156,1,3.649178568522167,3.649178568522167,171.0,38,0.000410766586321956
-0.1_133.6,-0.04266865179,133.6728821,1,4.375644642,4.375644642,10.0,25,0.00033978226689646403
-0.1_96.0,-0.071255997,96.045029,1,4.0292489,4.0292489,37.0,16,0.00019860730794507396
-0.1_96.4,-0.024628870185,96.4272728,2,4.187624902,4.1106728305,21.5,227,0.002213093284402597
-0.1_96.60000000000001,-0.046886784025,96.655056,2,4.791227409,4.2210393315,15.5,278,0.003483401830171898
-0.1_96.7,-0.0498055058212293,96.76261138988933,3,5.272768556,4.415011802176505,19.333333333333332,293,0.003380249995461263
-0.1_96.80000000000001,-0.07068546116,96.84764862,1,4.565170097,4.565170097,10.0,305,0.002838860767408939
-0.1_97.0,-0.0692420917197542,97.06702993530274,4,4.4935741,3.9090303523520777,28.75,209,0.002356421581135131
-0.1_97.10000000000001,-0.05157498677541855,97.14219860404297,4,4.9488343,4.291859630988116,11.5,183,0.0024041914680109407
-0.1_97.2,-0.059493131237500003,97.25463199625,8,5.079014954,4.199786189375,30.25,152,0.002337587304501716
-0.1_97.30000000000001,-0.044409299989090906,97.32358689727272,11,4.178020546,3.7479815805454546,29.545454545454547,153,0.00224312119033054
-0.1_97.4,-0.06216997281,97.48809814,1,3.532178844,3.532178844,11.0,151,0.001687475531259674
-0.1_97.5,-0.07447701693,97.56117249,1,4.349326609,4.349326609,13.0,144,0.0014214858076302876
-0.1_97.60000000000001,-0.0001004490477,97.60542297,1,3.8276516,3.8276516,23.0,147,0.0015391144565788523
-0.1_97.7,-0.004039503168,97.78370667,1,3.965356384,3.965356384,34.0,132,0.001369658305842498
-0.1_97.80000000000001,-0.06642485224,97.88631948,3,3.218317297,3.0294893936666667,30.333333333333332,125,0.0012436947686404012
-0.1_97.9,-0.004770836327,97.97938538,1,3.16610986,3.16610986,40.0,155,0.0015756798235529684
-0.1_98.0,-0.0732575804,98.07792664,1,4.099579423,4.099579423,11.0,145,0.0015967806456675337
-0.1_98.10000000000001,-0.05544707912,98.14821251500001,2,4.4182015,4.089016922,32.5,167,0.0018688182492154397
-0.1_98.2,-0.04452073552,98.218170235,2,4.580475092,4.090502496,10.0,206,0.0022045703445272968
-0.1_98.30000000000001,-0.036914404484999996,98.381290435,2,3.368796488,3.2940551845000003,10.5,312,0.003152170096798011
-0.1_98.4,-0.046792342141357954,98.47071991042188,5,4.397309456,3.5350405561676532,28.4,331,0.0035070002156105196
-0.1_98.5,-0.031234264375,98.566734315,2,3.537690582,3.1934696915,23.0,351,0.003869977917591761
-0.1_98.60000000000001,-0.065581131725,98.682178495,2,3.976228749,3.5379893915,11.0,315,0.00343334747932842
-0.1_98.7,-0.04150407393833333,98.74907679500001,6,4.1830908,3.375171358,17.666666666666668,317,0.003244305333537238
-0.1_98.80000000000001,-0.0267741843115873,98.85607910394532,2,3.497908348,2.9971283341909656,13.0,291,0.002641969799882534
-0.1_99.0,-0.017041463,99.022751,1,5.3813497,5.3813497,60.0,190,0.0018825716525349046
-0.1_99.10000000000001,-0.06372391059934647,99.1664148966927,3,3.925628232,3.28258832792133,41.0,166,0.0018582815749694404
-0.1_99.2,-0.04122714512095913,99.23445638236979,3,3.826051471,3.1913755991106214,37.0,145,0.0016658402617177608
-0.1_99.30000000000001,-0.09072625637,99.39767456,1,2.866162161,2.866162161,44.0,157,0.0016307331629719251
-0.1_99.4,-0.08345105871678946,99.4359779372754,2,4.336799125022783,3.7037593600113916,67.5,141,0.0015614067238650584
-0.1_99.80000000000001,-0.09207517654,99.89663696,1,3.118477849,3.118477849,108.0,413,0.0045707564176750825
-0.1_99.9,-0.02183751936479525,99.97571563752442,4,4.920955638,3.2786196637982,12.75,463,0.006676115481753813
-0.2_100.0,-0.11853643243872321,100.06917735026042,3,3.771071162083479,2.990744730503081,10.0,507,0.006285087892387329
-0.2_100.10000000000001,-0.14285728336374184,100.16644942476283,7,6.285025888,3.2909560012308128,12.285714285714286,518,0.006612326643826675
-0.2_100.2,-0.151389793391315,100.24245962856988,9,4.768611314,2.88209289947266,11.11111111111111,478,0.006581870735782285
-0.2_100.30000000000001,-0.15928290715210183,100.34202298542259,11,3.833970412,3.0075223666203104,10.0,411,0.005944874463749508
-0.2_100.4,-0.1661559492,100.4857025,1,2.944048934,2.944048934,86.0,334,0.004074961136329927
-0.2_100.7,-0.1403627843,100.7137222,1,3.132901654,3.132901654,10.0,147,0.001160866316267869
-0.2_100.80000000000001,-0.12439417591488927,100.85920205595703,3,3.52887021,3.161249977987532,113.0,32,0.0004456410578299579
-0.2_101.2,-0.1371267,101.23425,1,3.4771039,3.4771039,135.0,13,0.00012908678898182507
-0.2_101.9,-0.13537624,101.92656,1,3.6019225,3.6019225,568.0,4,8.455010690166492e-05
-0.2_102.0,-0.1724977568,102.0486984,2,5.329125061,5.3012617495,61.5,4,9.674605747244762e-05
-0.2_102.80000000000001,-0.1776751429,102.8115921,1,5.380337722,5.380337722,386.0,4,5.552702472428865e-05
-0.2_103.10000000000001,-0.1384527832,103.1657791,1,4.998599444,4.998599444,10.0,3,4.217488094253323e-05
-0.2_103.7,-0.1476006061,103.7459641,1,5.293412648,5.293412648,165.0,9,9.849829857486103e-05
-0.2_104.10000000000001,-0.1236636937,104.1298218,1,4.848415738,4.848415738,317.0,5,8.158503087581262e-05
-0.2_106.0,-0.1183573306,106.0480042,1,5.09515379,5.09515379,750.0,5,9.95625141250234e-05
-0.2_112.4,-0.1781398207,112.4421844,1,5.752793338,5.752793338,126.0,3,4.674770968548415e-05
-0.2_114.0,-0.1305848062,114.0167236,1,6.142937533,6.142937533,10.0,6,8.078646954333234e-05
-0.2_114.30000000000001,-0.1003633067,114.3422089,1,6.107976082,6.107976082,10.0,5,7.52152221533917e-05
-0.2_115.2,-0.13005644,115.20719,1,5.5342147,5.5342147,10.0,5,6.306748729623301e-05
-0.2_116.10000000000001,-0.14453947175,116.12851715,2,5.970786387,5.841893321000001,200.0,4,8.458445857411578e-05
-0.2_118.7,-0.1171846166,118.7036362,1,5.566124065,5.566124065,10.0,8,0.00013238011986877368
-0.2_119.10000000000001,-0.1339052022,119.1641235,1,5.264190159,5.264190159,10.0,75,0.0007676682402350219
-0.2_119.2,-0.1229954883,119.2608871,1,3.852256434,3.852256434,102.0,144,0.0014221010912398812
-0.2_119.30000000000001,-0.1316095069,119.36005399999999,2,3.811068175,3.5732003299999997,10.5,253,0.00246790215501037
-0.2_119.4,-0.17776076495322266,119.4656067046875,2,3.93986002,3.684463634456188,10.0,389,0.004042379941003317
-0.2_119.5,-0.15424558857999998,119.54795452,5,3.69030321,3.381696266,19.6,453,0.005504770400145872
-0.2_119.60000000000001,-0.1584185361777778,119.66034273333334,9,3.764915562,3.369598514,10.333333333333334,542,0.00734063696184893
-0.2_119.7,-0.16257930750098404,119.75906993425679,19,4.720832276,3.3426873448253134,9.31578947368421,593,0.008233318083718057
-0.2_119.80000000000001,-0.1585901352276096,119.84695655026425,17,5.0999064,3.3128077358513517,11.0,595,0.008057027210643455
-0.2_119.9,-0.1820069179,119.930748,2,4.413670698,4.1348622865,10.0,566,0.007387878391512279
-0.2_120.0,-0.16991983355,120.0072327,2,4.05013597,3.5811523165,21.5,512,0.006058962443452821
-0.2_120.10000000000001,-0.151434878575,120.157307575,4,3.852904495,3.27512882325,191.25,373,0.0035805413682410913
-0.2_120.2,-0.1413036734,120.2124329,1,2.969213349,2.969213349,27.0,315,0.002916680316213821
-0.2_120.30000000000001,-0.1510483325,120.3808212,1,2.403353693,2.403353693,74.0,156,0.001748321910509137
-0.2_120.4,-0.1907116026,120.4864426,1,2.852555043,2.852555043,10.0,112,0.0013426669941100527
-0.2_120.7,-0.1190515235,120.7177963,1,3.19353534,3.19353534,302.0,113,0.0011096347165574093
-0.2_120.80000000000001,-0.1049401611,120.8699875,1,2.967704811,2.967704811,15.0,108,0.001108080028405089
